[2026-07-07 21:06:56,482] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login | status=success | meta={'ip': '127.0.0.1'}
[2026-07-08 10:08:08,806] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 10:08:09,068] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 10:08:22,962] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'How is the mandi price of wheat today?'}
[2026-07-08 10:08:22,962] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 10:08:23,295] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 10:08:23,355] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'How is the mandi price of wheat today?'}
[2026-07-08 10:08:23,355] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 10:08:23,729] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 10:08:23,963] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login | status=success | meta={'ip': '127.0.0.1'}
[2026-07-08 10:08:23,964] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=farmer_ramesh | action=execute_agent:VerifierAgent | status=failure | meta={'reason': 'role'}
[2026-07-08 10:08:24,100] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login_credentials | status=success | meta={'session_id': 'sess_dd0060ad140994e8', 'role': 'Admin'}
[2026-07-08 10:08:24,111] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=token_refresh | status=success | meta={'session_id': 'sess_dd0060ad140994e8'}
[2026-07-08 10:08:24,126] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=logout | status=success | meta={}
[2026-07-08 10:08:24,134] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=verify_session | status=failure | meta={'reason': 'Session expired or inactive'}
[2026-07-08 10:08:24,134] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Session expired or timed out', 'token': 'eyJhbGciOiAiSFM...'}
[2026-07-08 10:08:24,241] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Malformed token structure', 'token': 'invalid_token...'}
[2026-07-08 10:08:24,241] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=failure | meta={'reason': 'Invalid token: Invalid token: Malformed token structure'}
[2026-07-08 10:08:24,245] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=success | meta={'warning': 'Unauthenticated connection accepted for backward compatibility'}
[2026-07-08 10:08:24,457] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What is the weather in Khanna Punjab?'}
[2026-07-08 10:08:24,457] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 10:08:25,357] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 10:08:25,897] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'weather forecast'}
[2026-07-08 10:08:25,897] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 10:08:26,824] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 10:08:27,376] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Is rain expected tomorrow?'}
[2026-07-08 10:08:27,380] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:53:33,641] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Advisory for organic wheat fertilization'}
[2026-07-08 17:53:33,657] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:53:33,659] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:53:33,696] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:53:34,050] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What is the nitrogen dose for maize?'}
[2026-07-08 17:53:34,055] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:53:34,055] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:53:34,062] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:53:43,383] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Should I plant Wheat in Ludhiana next season?'}
[2026-07-08 17:53:43,383] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:53:43,761] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:53:44,143] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Market price of wheat?'}
[2026-07-08 17:53:44,143] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:53:44,527] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:53:45,488] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Explain PM-Kisan scheme and weather risks in Ludhi'}
[2026-07-08 17:53:45,488] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:53:45,784] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:53:53,380] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Tell me about the PM-Kisan scheme and who is eligi'}
[2026-07-08 17:53:53,394] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:53:53,795] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:53:55,246] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Tell me about PM-Kisan scheme.'}
[2026-07-08 17:53:55,248] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:53:55,715] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:54:23,264] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Advisory for organic wheat fertilization'}
[2026-07-08 17:54:23,264] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:54:23,264] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:54:23,280] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:54:23,410] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What is the nitrogen dose for maize?'}
[2026-07-08 17:54:23,410] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:54:23,410] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:54:23,437] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:54:25,662] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What irrigation advice is recommended for my rice '}
[2026-07-08 17:54:25,662] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:54:25,662] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:54:25,938] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:54:39,998] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'How is the mandi price of wheat today?'}
[2026-07-08 17:54:40,003] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:54:40,380] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:54:41,164] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login | status=success | meta={'ip': '127.0.0.1'}
[2026-07-08 17:54:41,165] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=farmer_ramesh | action=execute_agent:VerifierAgent | status=failure | meta={'reason': 'role'}
[2026-07-08 17:54:41,313] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login_credentials | status=success | meta={'session_id': 'sess_ce0fb21c3529b144', 'role': 'Admin'}
[2026-07-08 17:54:41,327] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=token_refresh | status=success | meta={'session_id': 'sess_ce0fb21c3529b144'}
[2026-07-08 17:54:41,348] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=logout | status=success | meta={}
[2026-07-08 17:54:41,348] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=verify_session | status=failure | meta={'reason': 'Session expired or inactive'}
[2026-07-08 17:54:41,348] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Session expired or timed out', 'token': 'eyJhbGciOiAiSFM...'}
[2026-07-08 17:54:41,433] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Malformed token structure', 'token': 'invalid_token...'}
[2026-07-08 17:54:41,433] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=failure | meta={'reason': 'Invalid token: Invalid token: Malformed token structure'}
[2026-07-08 17:54:41,433] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=success | meta={'warning': 'Unauthenticated connection accepted for backward compatibility'}
[2026-07-08 17:54:41,672] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What is the weather in Khanna Punjab?'}
[2026-07-08 17:54:41,676] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:54:42,629] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:54:43,127] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'weather forecast'}
[2026-07-08 17:54:43,127] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:54:44,180] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:54:44,723] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Is rain expected tomorrow?'}
[2026-07-08 17:54:44,723] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:55:30,529] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Should I plant Wheat in Ludhiana next season?'}
[2026-07-08 17:55:30,535] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:55:30,884] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:55:31,303] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Market price of wheat?'}
[2026-07-08 17:55:31,306] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:55:31,705] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:55:32,672] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Explain PM-Kisan scheme and weather risks in Ludhi'}
[2026-07-08 17:55:32,676] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:55:32,995] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:55:40,613] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Tell me about the PM-Kisan scheme and who is eligi'}
[2026-07-08 17:55:40,613] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:55:40,947] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:55:42,389] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Tell me about PM-Kisan scheme.'}
[2026-07-08 17:55:42,390] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:55:42,904] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:56:10,454] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Advisory for organic wheat fertilization'}
[2026-07-08 17:56:10,454] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:56:10,454] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:56:10,471] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:56:10,633] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What is the nitrogen dose for maize?'}
[2026-07-08 17:56:10,636] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:56:10,637] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:56:10,653] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:56:12,889] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What irrigation advice is recommended for my rice '}
[2026-07-08 17:56:12,889] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:56:12,889] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:56:13,229] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:56:27,080] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'How is the mandi price of wheat today?'}
[2026-07-08 17:56:27,093] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:56:27,466] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:56:27,753] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login | status=success | meta={'ip': '127.0.0.1'}
[2026-07-08 17:56:27,755] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=farmer_ramesh | action=execute_agent:VerifierAgent | status=failure | meta={'reason': 'role'}
[2026-07-08 17:56:27,883] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login_credentials | status=success | meta={'session_id': 'sess_8f492032762192f2', 'role': 'Admin'}
[2026-07-08 17:56:27,897] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=token_refresh | status=success | meta={'session_id': 'sess_8f492032762192f2'}
[2026-07-08 17:56:27,903] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=logout | status=success | meta={}
[2026-07-08 17:56:27,905] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=verify_session | status=failure | meta={'reason': 'Session expired or inactive'}
[2026-07-08 17:56:27,905] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Session expired or timed out', 'token': 'eyJhbGciOiAiSFM...'}
[2026-07-08 17:56:27,976] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Malformed token structure', 'token': 'invalid_token...'}
[2026-07-08 17:56:27,979] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=failure | meta={'reason': 'Invalid token: Invalid token: Malformed token structure'}
[2026-07-08 17:56:27,981] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=success | meta={'warning': 'Unauthenticated connection accepted for backward compatibility'}
[2026-07-08 17:56:28,266] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'What is the weather in Khanna Punjab?'}
[2026-07-08 17:56:28,266] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:56:29,287] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:56:29,666] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'weather forecast'}
[2026-07-08 17:56:29,682] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:56:30,714] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
[2026-07-08 17:56:31,229] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Is rain expected tomorrow?'}
[2026-07-08 17:56:31,230] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Knowledge | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-08 17:56:53,411] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Advisory for organic wheat fertilization'}
[2026-07-08 17:56:53,418] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
